City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,cornelius,35.4868,-80.8601,11.33,87,100,0.0,US,1675042857
343,margate,51.3813,1.3862,5.94,88,49,1.79,GB,1675042906
344,muscat,23.6139,58.5922,14.01,59,0,0.37,OM,1675043257
345,moerai,-22.4333,-151.3333,26.38,75,100,3.88,PF,1675043257
346,palana,59.1167,159.9667,-0.79,72,97,9.13,RU,1675043257
347,chicama,-7.8447,-79.1469,21.3,70,90,2.62,PE,1675043258
348,chalchihuites,23.4833,-103.8833,10.61,42,0,4.12,MX,1675043258
349,ndjole,-0.1783,10.7649,23.52,98,100,0.88,GA,1675043259
350,gonaives,19.45,-72.6833,23.78,76,40,4.34,HT,1675043259
351,dicabisagan,17.0818,122.4157,22.42,89,100,5.92,PH,1675043260
352,awjilah,29.1081,21.2869,11.01,54,6,3.95,LY,1675043261
353,polyarnyy,69.1989,33.4478,-9.31,94,96,5.42,RU,1675043261
354,vikhorevka,56.1201,101.1636,-9.23,89,100,4.77,RU,1675043262
355,alice springs,-23.7,133.8833,24.75,88,100,3.09,AU,1675043262
356,fort nelson,58.8053,-122.7002,-10.59,84,75,2.24,CA,1675043263
357,umm kaddadah,13.6017,26.6876,21.2,12,5,4.87,SD,1675043263
358,bandarban,22.1965,92.2262,17.84,39,15,0.99,BD,1675043264
359,yulara,-25.2406,130.9889,26.74,54,100,4.14,AU,1675043264
360,poum,-20.2333,164.0167,26.59,70,5,6.22,NC,1675043264
361,lorengau,-2.0226,147.2712,28.89,73,27,1.73,PG,1675043265
